מספר מתקן,שם מתקן,מספר צרכן בעל המתקן,שם צרכן בעל המתקן,בעלות המתקן,סטאטוס,קבוצת מים,אקוויפר,ספיקה שעתית מקסימלית,מספר הפקה,מספר ארצי,אזור הפקה,אזור חקלאי,אזור גיאוגרפי,אזור אדמיניסטרטיבי,אזור תכנון
231058,פ רחובות חרלפ שלמה,6163,שוק מנדל,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20260,13314608,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231059,פ רחובות מישלין צפ,6165,מושלין חיים ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20178,13014584,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231060,פ רחובות מישלין דר,6165,מושלין חיים ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21198,13014560,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231061,פ רחובות מילר,6166,בני טוביה מילר ושות,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20257,13214686,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231062,פ רחובות יד ויצמן,6167,מכון ויצמן למדע,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,50.00,20212,13114588,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231063,פ רחובות יעקובסון,6167,מכון ויצמן למדע,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,50.00,20255,13214664,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231064,פ רחובות אחו ויצמן ב,6167,מכון ויצמן למדע,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,50.00,21369,13214588,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231065,פ רחובות פיק חדשה,6167,מכון ויצמן למדע,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,50.00,21706,13214568א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231066,פ מכון וייצמן 8,6167,מכון ויצמן למדע,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,150.00,21919,13114648א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231067,פ רחובות מכ ויצמן 3,6167,מכון ויצמן למדע,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26254,13214508,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231068,פ רחובות מנוחין,6168,מנוחין שלמה ושות,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20287,13314482,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231069,פ רחובות מקוב,6170,מקוב א ח ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20271,13314460,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231070,פ רחובות נחמני ושות,6175,נחמני אבינועם ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20269,13314584,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231071,פ רחובות סלפטר גולדנ,6183,סלפטר גולדברג גוט ופישר,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20256,13214648,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231072,פ רחובות סקר אליעזר,6185,סקר אליעזר ובניו,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20288,13414488,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231073,פ רחובות פבזנר זאב ב,6193,פבזנר זאב,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,70.00,21278א,13114500,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231074,פ רחובות פרי פרי לרר,6194,פולני א ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20230,13214364,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231075,פ רחובות פיראטינסקי,6195,פיריאטינסקי מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20231,13014446,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231076,פ רחובות לנדאו ושות,6196,לנדאו א וארחים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20272,13314562,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231077,פ רחובות פורר יוסף,6197,פורר מרדכי יוסף ויהודה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20283,13414422,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231078,פ רחובות פיינשטיין,6198,פיינשטיין בתיה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21725,13414384א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231079,פ רחובות פישר א,6203,קרנון ברגמן ואריה זלק,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20102,13214704,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231080,פ רחובות פרי תנובה,6204,פרי תנובה בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20328,13214340,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231081,פ רחובות גורודינסקי,6209,פרימה אסטייטס בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20281,13414464,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231082,פ רחובות מן היה צילי,6211,טשיל עופרה ודניאל,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20286,13414400א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231083,פ רחובות קושליביץ,6215,יבלונסקי שרשבסקי קושלביץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20296,13214240,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231084,פ רחובות שוילי,6216,קטרי ציון,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26117,13014548,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231085,פ רחובות קרונברג אחי,6217,קרן אביאל,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20329,13214300,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231086,פ רחובות קרוננברג י,6217,קרן אביאל,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,100.00,21370,13114380,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231087,פ רחובות רבינוביץ,6221,רבינוביץ שרה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21281,13314424א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231088,פ רחובות גדיאל,6223,רחובות עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20173,12914484,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231089,פ רחובות א עיר מנוחה,6223,רחובות עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20223,13214484ב,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231090,פ רחובות ג,6238,הבאר השלישית תאגיד מים וביוב בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,100.00,20227,13214400א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231091,פ רחובות ג (הירשנזון) עיריה,6223,רחובות עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20227א,13214400,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231092,פ רחובות ח עיר שבזי,6223,רחובות עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20228,13214440,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231093,פ רחובות ו עיר יבנה,6223,רחובות עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20877,12914308,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231094,פ רחובות ז עיר תעשיה,6238,הבאר השלישית תאגיד מים וביוב בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,120.00,21022,12914482,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231095,פ רחובות רוזנמן אבר,6238,הבאר השלישית תאגיד מים וביוב בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,60.00,21547,13314304,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231096,פ רחובות ט,6238,הבאר השלישית תאגיד מים וביוב בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,120.00,21836,12914440,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231097,פ רחובות 10 עיריה,6238,הבאר השלישית תאגיד מים וביוב בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21863,12814462,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231098,פ רחובות יא,6238,הבאר השלישית תאגיד מים וביוב בע"מ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,120.00,21959,12914304,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231099,פ רחובות פינשטין אהר,6231, ס.ע.ר פיינשטיין בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,21921,13014526א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231100,פ רחובות גן מבע שות,6232,אגסים בניה והשקעות בע"מ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21611,13414524א,מערכת ארצית,השפלה וההר,רחובות,רחובות              ,מרכז
231102,פ לוד התעופה בדק 1,6247,התעשייה האוירית לישראל בע"מ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,300.00,26071,14015664,מערכת ארצית,השפלה וההר,רחובות,חבל מודיעין מ.א,מרכז
231103,פ לוד חסונה עבד חמיד,6297,מוסה יעקב חסונה,צרכן פרטי,לא פעיל,קידוח שפיר טורון,קנומן - טורון,,26393,14015442,מערכת ארצית,השפלה וההר,רחובות,לוד                 ,מרכז
231104,פ רמות השבים אל על,6412,רמות השבים - מפעל המים אג' שת' חק',צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20834,13717460,מערכת ארצית,המרכז,רעננה,דרום השרון מ.א,מרכז
231105,פ רעננה גרמן פיטר,6429,ברזילי שמעון שרמן,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,300.00,20506,13717508,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231106,פ הרצליה הלל,6434,הלל דוד ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20520,13617644,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231107,פ רעננה הרשקוביץ,6435,עופר הרי ודן,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20465,13917920,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231108,פ רעננה אחים פישר,6437,וולפו ברוך ומרדכי,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20504,13717564,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231109,פ רעננה 20 חקל,6442,יכין חקל בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21513,13817724,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231110,פ כפר נחמן אגו מים,6446,כפר-נחמן אגודה הדדית,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,120.00,20513,13717980,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231111,פ רעננה פולק ושות,6455,באר שותפות רענן,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20512,13817800,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231112,פ רעננה זילברשן,6457,לוי שלמה ואחרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20459,13917726,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231113,פ רעננה אביגדור צמח,6459,צמח אביגדור,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20510,13717842,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231115,פ רעננה 5,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,150.00,20498,13817642,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231116,פ רעננה 2,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,80.00,20503,13717664,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231117,פ רעננה 9,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20507,13717782,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231118,פ רעננה 14,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,225.00,20514,13717786,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231119,פ רעננה 6,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,60.00,20517,13617668א,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231120,פ רעננה 10,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,165.00,20519,13617608,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231121,פ רעננה 3,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20789,13917920ב,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231122,פ רעננה 13,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,130.00,20840,13617768,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231123,פ רעננה 15,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,300.00,21062,13517760,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231124,פ רעננה 16,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,300.00,21471,13917608,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231125,פ רעננה 18,6463,מי רעננה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,150.00,21562,13817786,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231126,פ רעננה 19,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,150.00,21813,13717568,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231127,פ רעננה 22,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב שפיר פל' מיהול,פליו-פליסטוקן מילוי,140.00,21876,13917604,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231128,פ רעננה 23,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,175.00,21999,13617880,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231129,פ רעננה 25,6463,מי רעננה בע"מ,צרכן פרטי,פעיל,קידוח מטויב פליסטוקן,פליו-פליסטוקן מילוי,135.00,22028,13717784,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231130,פ רעננה שרפשטיין צבי,6467,קיפניס עמוס - בי"ס חקלאי מקווה ישראל,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,160.00,20511,13617844,מערכת ארצית,המרכז,רעננה,רעננה               ,שרון
231131,פ תל מונד זיו ב,6475,אטבליסמנט סמונד בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21052,14218440,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231132,פ גן אפריים רנשטין,6479,שרה סנילביץ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,20648,14018184,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231133,פ גן אפרים 2 חקל,6494,יכין חקל מטעים חדשים באר הנוצרים,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,226.00,20821,13918200,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231134,פ גן אפרים 4 חקל,6494,יכין חקל מטעים חדשים באר הנוצרים,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,180.00,20822,13818240,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231135,פ גן אפרים 1 חקל,6493,ריח הדרים בע"מ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,280.00,20823,13918124,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231136,פ תל מונד חק ל 3 א,6494,יכין חקל מטעים חדשים באר הנוצרים,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,180.00,20825א,13918262א,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231137,פ גן אפרים 5 חקל,6494,יכין חקל מטעים חדשים באר הנוצרים,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,120.00,21044,13918162,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231138,פ גן אפרים 8 חקל,6494,יכין חקל מטעים חדשים באר הנוצרים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,200.00,21571,14118200,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231139,פ גן אפרים 9 חקל,6494,יכין חקל מטעים חדשים באר הנוצרים,צרכן פרטי,לא פעיל,קידוח שפיר טורון,קנומן - טורון,,21899,14118066,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231140,פ גן אפרים לפטר,6506,לפטה חברה,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,20644,14018200,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231141,פ תל מונד זיו א,6508,בארות תל מונד בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,170.00,20578,14018444,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231142,פ תל מונד 5 מטעי אי,6508,בארות תל מונד בע"מ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,110.00,20582,14018460,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231143,פ תל מונד פפר יצחקי,6521,ברייר ובנו בע"מ כפר בני ציון,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,21850,14018168,מערכת ארצית,המרכז,רעננה,תל מונד,שרון
231144,פ תל מונד א מועצה,3178,מעינות השרון בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21397,14318502,מערכת ארצית,המרכז,רעננה,אבן יהודה,שרון
231146,פ נח בתי ז אשדודת/4,6555,בתי זקוק לנפט בע"מ - אשדוד,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,30.00,26561,11813962,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231147,פ נח ב זקוק אשדודת/3,6555,בתי זקוק לנפט בע"מ - אשדוד,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,30.00,26562,11813984א,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231148,פ נח ב זקוק אשדודת/1,6555,בתי זקוק לנפט בע"מ - אשדוד,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,60.00,26563,11813982,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231149,פ נח ב זקוק אשדודת/2,6555,בתי זקוק לנפט בע"מ - אשדוד,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,60.00,26564,11813984,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231150,פ אשדוד ים 2 עיריה,6562,יובלים אשדוד בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,40.00,21519,11813520,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231151,פ אשדוד ים 1 עיריה (מטפיק),6562,יובלים אשדוד בע"מ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,270.00,21576,11813784,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231152,פ אשקוגן,6557,אתגל   אשדוד בע"מ,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,200.00,26565,11713866,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231153,פ סוכרר חב חשמל 1,6559,חב' החשמל לישראל תחנת כוח אשדוד,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26049,11713880,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231154,פ סוכריר חב חשמל 2,6559,חב' החשמל לישראל תחנת כוח אשדוד,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,100.00,26050,11713786,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231155,פ אשדוד חב רוגוזין 3,6563,דלק פי גלילות שותפות מוגבלת,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,60.00,21702,12013888,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231156,פ אשדוד רוגוזין 2,6563,דלק פי גלילות שותפות מוגבלת,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26429,11813902,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231157,פ אשדוד רוגוזין 1,6563,דלק פי גלילות שותפות מוגבלת,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26430,11813904,מערכת ארצית,השפלה וההר,רחובות,אשדוד               ,מרכז
231158,פ מטעי אשקלון א,6613,הדרי החוף מספר 63 בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26020,10911882,מערכת ארצית,הדרום,נגב,אשקלון              ,מרכז
231159,פ זכריה יכין חקל,6617,מטעי אלירם בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26236,11111600,מערכת ארצית,הדרום,נגב,אשקלון              ,מרכז
231160,פ מגדל אשקלון עמיצור,6622,חוות עמיצור בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26021,10911966,מערכת ארצית,הדרום,נגב,אשקלון              ,מרכז
231161,פ יכין חקל סינדיקט40,6629,מנהל מקרקעי ישראל,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21637,10711988,מערכת ארצית,הדרום,נגב,אשקלון              ,מרכז
231162,פ כפר סילבר מכון מים,6635,כפר סילבר - בי"ס התיכון החקלאי,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,20358,11312160,מערכת ארצית,הדרום,נגב,חוף אשקלון מ.א,מרכז
231163,פ כפר סילבר רסקו,6635,כפר סילבר - בי"ס התיכון החקלאי,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,200.00,21125,11312026,מערכת ארצית,הדרום,נגב,חוף אשקלון מ.א,מרכז
231164,פ עלמי חיריה,6648,עלמי ומוסבה חיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,26237,10911860,מערכת ארצית,הדרום,נגב,אשקלון              ,מרכז
231165,פ מגדל אשקלון סינקט,6651,המתנחלים מגדל אשקלון בעמ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,21458,10911946,מערכת ארצית,הדרום,נגב,אשקלון              ,מרכז
231166,פ אביגדור א מושב,6670,אביגדור מושב,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,140.00,20898,12512482,,השפלה וההר,רחובות,באר טוביה מ.א,מרכז
231167,פ אביגדור ב מושב,6670,אביגדור מושב,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,150.00,20900,12412442א,,השפלה וההר,רחובות,באר טוביה מ.א,מרכז
231168,פ אביגדור ד,6670,אביגדור מושב,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,21520,12512424,,השפלה וההר,רחובות,באר טוביה מ.א,מרכז
231169,פ אביגדור ו מושב,6670,אביגדור מושב,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,21673,12412388,מערכת ארצית,השפלה וההר,רחובות,באר טוביה מ.א,מרכז
231170,פ אורות א מושב,6671,אורות מושב שתופי,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,21114,12412786,,השפלה וההר,רחובות,באר טוביה מ.א,מרכז
231171,פ אורות ב סוכנות,6671,אורות מושב שתופי,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,21699,12312862א,,השפלה וההר,רחובות,באר טוביה מ.א,מרכז
